監測主題,標題,內容,來源,來源網站,主文/回文,發佈時間,討論串總則數,點閱數,作者,正面強度,負面強度 ,原始連結
氣炸鍋|汽炸鍋|氣炸锅,請問氣炸鍋和有蒸烤的微波爐有什麼不同？,"兩者共同點都是標榜健康無油,不過感覺蒸烤型微波爐 能玩出的花樣比較多耶,且使用方式比較簡單(氣炸鍋感覺還是需要些基本料理技巧XD) 像日立LV300T、GV300T這系列的蒸烤型微波爐.就都標榜多食譜功能 且全中文化介面,舉凡蛋糕炸豬排...等各式料理都難不倒,感覺廚房都可省了XD",討論區,美妝INTALKING > 居家生活,回文,2013-12-31 16:41:25,5,2871,music,0.218,0.188,http://intalking.com/thread-208665-1-1.html
氣炸鍋|汽炸鍋|氣炸锅,【按讚+留言★抽氣炸鍋54道食譜書1本，共抽出十位幸運兒】...,【按讚+留言★抽氣炸鍋54道食譜書1本，共抽出十位幸運兒】 momo購物網於12/22周日在誠品Cooking Studio舉辦飛利浦新款氣炸鍋體驗活動，現場邀請到型男主廚陳秉文來示範料理，主廚當天總共設計5道料理外加1道隱藏版聖誕料理，五道料理分別是【脆皮啤酒鵝】【剝皮辣椒風味牛肉捲】【堅果豬肉丸佐蘋果泥】【綠咖哩椰香雞】【鍋塌黃金豆腐】，至於隱藏版聖誕料理是什麼哩????將！將！是令女孩們尖叫的蜜糖吐司耶(小編當天尖叫慘了~~~~)主廚所做的每道料理都不添加任何油脂喔，每一道料理做完主廚都會裝進透明杯給我們看有多油！小編不騙你，看到杯子裡的油你真的會嚇一大跳用氣炸鍋做料理真的很健康，歐洲氣旋科技可降低油脂含量最高達80%，就連愛美的女性和小朋友吃了一口接一口耶！家電課長為了感謝momo會員如此踴躍報名參加此次體驗活動特地加碼延長氣炸鍋往生價時間！真的是最後一檔【飛利浦】免油健康氣炸鍋(HD-9220)白色(M)下殺$5980↓ http://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=2195376&&cid=fb1231&oid=1300當天主廚使用的新款【飛利浦】免油健康氣炸鍋HD9240 (約5人份)在這裡↓加碼送飛利浦電磁爐http://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=2367802&cid=fb1231&oid=1300趕緊來按讚+留言【momo飛利浦★讓您食在安心】就有機會抽中氣炸鍋54道食譜書1本喔！,社群網站,facebook粉絲團 > momo富邦購物網,主文,2013-12-31 13:16:52,599,2291,momo富邦購物網,0.513,0.382,http://www.facebook.com/permalink.php?story_fbid=10152091876718431&id=165449553430
氣炸鍋|汽炸鍋|氣炸锅,鴨油烤薯塊(氣炸鍋),"不能正經兄說鴨油炸薯條很香 回應""很肥"" 但 腦波超弱 揮之不去那香鬆軟熱騰騰馬鈴薯滋味誘惑 是的 回家就立馬把鴨油和馬鈴薯配對 ' 材料 1.馬鈴薯 2.鴨油 3.香料鹽 ' 做法 1.馬鈴薯放入水中煮滾後,再煮5分鐘,瀝乾放涼切塊 2.馬鈴薯塊均勻沾到鴨油和香料鹽 3.放入氣炸鍋200度10分鐘 ' 為什麼這麼肥滋滋東西 這麼好吃又這麼好做啊(吃完抱頭懊惱)",部落格,udn部落格 > 最多回應,主文,2013-12-31 09:06:08,3,0,ritayang3399,0.45,0.514,http://blog.udn.com/ritayang3399/10140786
氣炸鍋|汽炸鍋|氣炸锅,"好康分享給大家~上傳寶寶照片就能抽""奶粉、iPad mini、氣炸鍋、新光三越禮券…""",謝謝分享~,討論區,ISWII美妝新聞台 > 好康情報,回文,2013-12-31 00:00:00,4,0,riva1979,0.38,0,http://forum.iswii.net/forum/3/ftopic/11819
氣炸鍋|汽炸鍋|氣炸锅,登百貨十大夯品蛋捲機靠食安崛起,食安亮紅燈，民眾開始想要自己來動手做料理，也讓麵包機、氣炸鍋等商品意外成了新寵兒，有台灣業者更是設計出自動蛋捲機，只要丟進雞蛋，就能自動做好一份日式蛋捲，號稱還擁有玉子燒的口感，算是懶人料理機，推出才短短2個月，不但全球熱銷5萬台，同類型的蛋捲機也跟著在網購通路熱銷，還登上百貨十大年度夯品。 香噴噴的玉子燒，家事達人親自示範，用高湯調味的蛋汁一層成形，翻動平底鍋，再包上一層，火侯得要拿捏得當，才能做出美味的日式蛋捲，但如果不擅長下廚，現在也有這種自動蛋捲機，熱水瓶大小，只留下直徑3公分小洞口，把蛋打成蛋汁倒入，蛋汁在瓶身內慢慢加熱，不斷冒泡，就怕只有蛋太單調，甚至還能塞進火腿肉。 業者黃先生：「內部食物已經熟了之後，它會依照內部氣壓，讓它把煮熟的食物自動推上來。」 利用熱脹冷縮原理，讓蛋捲自動成形，幾乎完全不用自己動手，號稱有日式玉子燒口感，我們把成品和老師手工作的玉子燒，請民眾試吃看看。記者：「比較喜歡哪一個？」民眾：「這個(蛋捲機做的)。」記者：「為什麼？」民眾：「因為蛋捲機做的比較Q。」 民眾：「這個(手工)比較綿密。」 手工做的層次分明，有綿密口感，蛋捲機做的口感Q滑，各有愛好者；事實上因為食安問題，有台灣業者自行研發蛋捲機，從上市至今，已經熱銷5萬台，而在網購通路，凡是叫蛋捲機的商品，都賣得嚇嚇叫，意外登上百貨十大年度夯品排行榜。,新聞,MSN新聞 > 生活新聞,主文,2013-12-30 20:09:00,0,0,TVBS新聞,0.503,0.237,http://news.msn.com.tw/./news3500494.aspx
氣炸鍋|汽炸鍋|氣炸锅,登百貨十大夯品蛋捲機靠食安崛起,食安亮紅燈，民眾開始想要自己來動手做料理，也讓麵包機、氣炸鍋等商品意外成了新寵兒，有台灣業者更是設計出自動蛋捲機，只要丟進雞蛋，就能自動做好一份日式蛋捲，號稱還擁有玉子燒的口感，算是懶人料理機，推出才短短2個月，不但全球熱銷5萬台，同類型的蛋捲機也跟著在網購通路熱銷，還登上百貨十大年度夯品。 香噴噴的玉子燒，家事達人親自示範，用高湯調味的蛋汁一層成形，翻動平底鍋，再包上一層，火侯得要拿捏得當，才能做出美味的日式蛋捲，但如果不擅長下廚，現在也有這種自動蛋捲機，熱水瓶大小，只留下直徑3公分小洞口，把蛋打成蛋汁倒入，蛋汁在瓶身內慢慢加熱，不斷冒泡，就怕只有蛋太單調，甚至還能塞進火腿肉。 業者黃先生：「內部食物已經熟了之後，它會依照內部氣壓，讓它把煮熟的食物自動推上來。」 利用熱脹冷縮原理，讓蛋捲自動成形，幾乎完全不用自己動手，號稱有日式玉子燒口感，我們把成品和老師手工作的玉子燒，請民眾試吃看看。記者：「比較喜歡哪一個？」民眾：「這個(蛋捲機做的)。」記者：「為什麼？」民眾：「因為蛋捲機做的比較Q。」 民眾：「這個(手工)比較綿密。」 手工做的層次分明，有綿密口感，蛋捲機做的口感Q滑，各有愛好者；事實上因為食安問題，有台灣業者自行研發蛋捲機，從上市至今，已經熱銷5萬台，而在網購通路，凡是叫蛋捲機的商品，都賣得嚇嚇叫，意外登上百貨十大年度夯品排行榜。,新聞,pchome新聞 > 生活,主文,2013-12-30 19:53:24,0,0,蔡宜靜,0.503,0.237,http://news.pchome.com.tw/living/tvbs/20131230/index-13884044040817239009.html
氣炸鍋|汽炸鍋|氣炸锅,登百貨十大夯品蛋捲機靠食安崛起,食安亮紅燈，民眾開始想要自己來動手做料理，也讓麵包機、氣炸鍋等商品意外成了新寵兒，有台灣業者更是設計出自動蛋捲機，只要丟進雞蛋，就能自動做好一份日式蛋捲，號稱還擁有玉子燒的口感，算是懶人料理機，推出才短短2個月，不但全球熱銷5萬台，同類型的蛋捲機也跟著在網購通路熱銷，還登上百貨十大年度夯品。 香噴噴的玉子燒，家事達人親自示範，用高湯調味的蛋汁一層成形，翻動平底鍋，再包上一層，火侯得要拿捏得當，才能做出美味的日式蛋捲，但如果不擅長下廚，現在也有這種自動蛋捲機，熱水瓶大小，只留下直徑3公分小洞口，把蛋打成蛋汁倒入，蛋汁在瓶身內慢慢加熱，不斷冒泡，就怕只有蛋太單調，甚至還能塞進火腿肉。 業者黃先生：「內部食物已經熟了之後，它會依照內部氣壓，讓它把煮熟的食物自動推上來。」 利用熱脹冷縮原理，讓蛋捲自動成形，幾乎完全不用自己動手，號稱有日式玉子燒口感，我們把成品和老師手工作的玉子燒，請民眾試吃看看。記者：「比較喜歡哪一個？」民眾：「這個(蛋捲機做的)。」記者：「為什麼？」民眾：「因為蛋捲機做的比較Q。」 民眾：「這個(手工)比較綿密。」 手工做的層次分明，有綿密口感，蛋捲機做的口感Q滑，各有愛好者；事實上因為食安問題，有台灣業者自行研發蛋捲機，從上市至今，已經熱銷5萬台，而在網購通路，凡是叫蛋捲機的商品，都賣得嚇嚇叫，意外登上百貨十大年度夯品排行榜。   ,新聞,TVBS新聞 > 影音專區,主文,2013-12-30 19:53:00,0,0,蔡宜靜,0.501,0.236,http://news.tvbs.com.tw/entry/515901
氣炸鍋|汽炸鍋|氣炸锅,登百貨十大夯品蛋捲機靠食安崛起,食安亮紅燈，民眾開始想要自己來動手做料理，也讓麵包機、氣炸鍋等商品意外成了新寵兒，有台灣業者更是設計出自動蛋捲機，只要丟進雞蛋，就能自動做好一份日式蛋捲，號稱還擁有玉子燒的口感，算是懶人料理機，推出才短短2個月，不但全球熱銷5萬台，同類型的蛋捲機也跟著在網購通路熱銷，還登上百貨十大年度夯品。 香噴噴的玉子燒，家事達人親自示範，用高湯調味的蛋汁一層成形，翻動平底鍋，再包上一層，火侯得要拿捏得當，才能做出美味的日式蛋捲，但如果不擅長下廚，現在也有這種自動蛋捲機，熱水瓶大小，只留下直徑3公分小洞口，把蛋打成蛋汁倒入，蛋汁在瓶身內慢慢加熱，不斷冒泡，就怕只有蛋太單調，甚至還能塞進火腿肉。 業者黃先生：「內部食物已經熟了之後，它會依照內部氣壓，讓它把煮熟的食物自動推上來。」 利用熱脹冷縮原理，讓蛋捲自動成形，幾乎完全不用自己動手，號稱有日式玉子燒口感，我們把成品和老師手工作的玉子燒，請民眾試吃看看。記者：「比較喜歡哪一個？」民眾：「這個(蛋捲機做的)。」記者：「為什麼？」民眾：「因為蛋捲機做的比較Q。」 民眾：「這個(手工)比較綿密。」 手工做的層次分明，有綿密口感，蛋捲機做的口感Q滑，各有愛好者；事實上因為食安問題，有台灣業者自行研發蛋捲機，從上市至今，已經熱銷5萬台，而在網購通路，凡是叫蛋捲機的商品，都賣得嚇嚇叫，意外登上百貨十大年度夯品排行榜。 ,新聞,Hinet > 生活新聞,主文,2013-12-30 19:53:00,0,0,TVBS,0.502,0.237,http://times.hinet.net/news/14962719?m=cl
氣炸鍋|汽炸鍋|氣炸锅,登百貨十大夯品蛋捲機靠食安崛起,食安亮紅燈，民眾開始想要自己來動手做料理，也讓麵包機、氣炸鍋等商品意外成了新寵兒，有台灣業者更是設計出自動蛋捲機，只要丟進雞蛋，就能自動做好一份日式蛋捲，號稱還擁有玉子燒的口感，算是懶人料理機，推出才短短2個月，不但全球熱銷5萬台，同類型的蛋捲機也跟著在網購通路熱銷，還登上百貨十大年度夯品。  香噴噴的玉子燒，家事達人親自示範，用高湯調味的蛋汁一層成形，翻動平底鍋，再包上一層，火侯得要拿捏得當，才能做出美味的日式蛋捲，但如果不擅長下廚，現在也有這種自動蛋捲機，熱水瓶大小，只留下直徑3公分小洞口，把蛋打成蛋汁倒入，蛋汁在瓶身內慢慢加熱，不斷冒泡，就怕只有蛋太單調，甚至還能塞進火腿肉。 業者黃先生：「內部食物已經熟了之後，它會依照內部氣壓，讓它把煮熟的食物自動推上來。」 利用熱脹冷縮原理，讓蛋捲自動成形，幾乎完全不用自己動手，號稱有日式玉子燒口感，我們把成品和老師手工作的玉子燒，請民眾試吃看看。記者：「比較喜歡哪一個？」民眾：「這個(蛋捲機做的)。」記者：「為什麼？」民眾：「因為蛋捲機做的比較Q。」 民眾：「這個(手工)比較綿密。」 手工做的層次分明，有綿密口感，蛋捲機做的口感Q滑，各有愛好者；事實上因為食安問題，有台灣業者自行研發蛋捲機，從上市至今，已經熱銷5萬台，而在網購通路，凡是叫蛋捲機的商品，都賣得嚇嚇叫，意外登上百貨十大年度夯品排行榜。 ,新聞,yahoo新聞 > 消費,主文,2013-12-30 19:53:00,0,0,TVBS,0.502,0.236,http://tw.news.yahoo.com/登百貨十大夯品-蛋捲機靠食安崛起-115300857.html
氣炸鍋|汽炸鍋|氣炸锅,請問,請問用氣炸鍋可以炸成酥脆的豬蹄膀嗎？,討論區,BabyHome 寶貝家庭親子網 > 閒聊專區,主文,2013-12-30 16:56:08,0,0,小永,0,0,http://www.babyhome.com.tw/mboard/topic.php?&bid=6&sID=4280226
